GaiaDR3_ID,cluster,subgroup,data_catalog,Prot_source,Prot,mem_prob_hdbscan,mem_prob_source,dr3_parallax_zpt_corrected,dr3_ruwe,G_0,BPRP_0,e_BPRP_0,dustmap,fiducial_age_Myr,cmd_exclude,dered_exclude,phot_exclude
2128121218177579392,NGC6811,NGC6811,Long2023;Curtis2020;GodoyRivera2021,Santos2021;Curtis2019a;Santos2021,11.029095,0.886,0.886,0.8750992761409591,1.0674868,15.847123051414348,0.9998548663296899,0.01663544730133268,Edenhofer,1004,0,0,0
2128121458695701888,NGC6811,NGC6811,GodoyRivera2021,Santos2021,12.684369,0.77,0.77,0.9065629427140401,1.0050334,15.147451663662782,0.9701166494204423,0.015501737328983857,Edenhofer,1004,0,0,0
2128122038511307520,NGC6811,NGC6811,GodoyRivera2021,Santos2021,9.56,0.379,0.379,0.9526442340274424,3.2862506,14.737259240951149,0.7878539176968625,0.016513803679093532,Edenhofer,1004,0,0,0
2128126165979845376,NGC6811,NGC6811,Long2023;Curtis2020;GodoyRivera2021,Santos2021;Curtis2019a;Santos2021,4.535524,0.715,0.715,0.9093689915579176,1.0062518,14.163934952807981,0.6841036799869403,0.01532114509639741,Edenhofer,1004,0,0,0
2128129498874247168,NGC6811,NGC6811,GodoyRivera2021,Santos2021,6.386025,0.264,0.264,0.9251534093324608,1.1221422,14.30911861114055,0.769235947149616,0.015497125517514265,Edenhofer,1004,0,0,0
2128131216861127680,NGC6811,NGC6811,Long2023;Curtis2020,Long2023;Curtis2019a,2.343,1,1,0.8990878559271288,0.9094834,13.547291065154823,0.5714267384143751,0.015211527291647006,Edenhofer,1004,0,0,0
2128131285580614912,NGC6811,NGC6811,Long2023;GodoyRivera2021,Santos2019;Long2023,13.833726,0.75,0.75,0.9163554284970511,1.0053853,16.73342125940334,1.2420640209551057,0.01931621522027235,Edenhofer,1004,0,0,0
2128132488173376512,NGC6811,NGC6811,Long2023;Curtis2020;GodoyRivera2021,Santos2019;Curtis2019a;Santos2019,13.071793,0.849,0.849,0.8759623224853679,1.0207669,16.653300015278514,1.2559091251077659,0.018702878039420844,Edenhofer,1004,0,0,0
2128132591251003008,NGC6811,NGC6811,Long2023,Long2023,0.527,0.884,0.884,0.86535629989352,0.93211496,12.549165694518367,0.4560795550520731,0.014605474430419414,Edenhofer,1004,0,0,0
2128132930547764992,NGC6811,NGC6811,Long2023,Long2023,1.023,0.901,0.901,0.8780354086404408,1.0185829,11.967049889281752,0.28240098456699975,0.014733593667564254,Edenhofer,1004,0,0,0
2128132934848443520,NGC6811,NGC6811,GodoyRivera2021,Santos2021,1.351842,0.63,0.63,0.8941095156214899,0.9624776,15.472650495481147,0.9764943830592067,0.01686647201437548,Edenhofer,1004,0,0,0
2128136714419757952,NGC6811,NGC6811,Long2023;Curtis2020;GodoyRivera2021,Santos2019;Curtis2019a;Santos2019,13.050537,0.649,0.649,0.9774893458477572,1.0230826,16.592613109106804,1.1999282683917736,0.0163060475697963,Edenhofer,1004,0,0,0
2128139600637881472,NGC6811,NGC6811,Long2023;Curtis2020;GodoyRivera2021,Santos2021;Curtis2019a;Santos2021,11.672282,0.857,0.857,0.8748431067039242,0.9754401,15.468200375006546,0.9052425147372667,0.015624754839238503,Edenhofer,1004,0,0,0
2128139634997621376,NGC6811,NGC6811,Long2023;Curtis2020;GodoyRivera2021,Santos2019;Curtis2019a;Santos2019,11.921012,0.693,0.693,0.9475903940536698,0.9434681,16.75944050596808,1.2909834498920378,0.017929230484687125,Edenhofer,1004,0,0,0
2128141417403122944,NGC6811,NGC6811,Long2023,Long2023,19.187,0.822,0.822,0.8993381732149082,0.9504957,12.05771001694804,0.4189914914189362,0.014557364620556889,Edenhofer,1004,0,0,0
2128144342281521152,NGC6811,NGC6811,GodoyRivera2021,Santos2021,11.431416,1,1,0.9152240536296395,1.2025744,13.569217406845043,0.6758122576387869,0.01482541312461098,Edenhofer,1004,0,0,0
2128145506212653824,NGC6811,NGC6811,Long2023,Long2023,12.145,0.346,0.346,0.9061425933044308,0.98074585,17.32640174855784,1.5328362735797059,0.025373967645323042,Edenhofer,1004,0,0,0
2128145510512609920,NGC6811,NGC6811,Long2023,Long2023,0.463,0.296,0.296,0.8966124001465303,1.051291,12.871706951028676,0.4460530605511316,0.014785598543034104,Edenhofer,1004,0,0,0
2128146335146361856,NGC6811,NGC6811,Long2023;Curtis2020;GodoyRivera2021,Santos2021;Curtis2019a;Santos2021,9.836672,0.619,0.619,0.9254359486860655,1.2780057,15.38674530618311,0.9318545360628949,0.015259656271121075,Edenhofer,1004,0,0,0
2128146541304841088,NGC6811,NGC6811,Long2023,Long2023,0.831,0.293,0.293,0.8842575140820955,0.89963645,11.346034632711953,0.4329202350824295,0.01494729042263933,Edenhofer,1004,0,0,0
2128147022341188352,NGC6811,NGC6811,Long2023,Long2023,26.816,1,1,0.9095122524772427,0.8555391,10.804180636125185,1.0612019844356169,0.01444881811523526,Edenhofer,1004,1,0,0
2128147125420433280,NGC6811,NGC6811,GodoyRivera2021,Santos2021,2.639113,0.886,0.886,0.9287368800301363,0.9944686,13.148777198833068,0.6234832626971579,0.014716515644675755,Edenhofer,1004,0,0,0
2128147194139908352,NGC6811,NGC6811,Long2023;GodoyRivera2021,Santos2019;Long2023,11.083315,0.947,0.947,0.941778407975015,1.0290352,16.593098460405578,1.2398681583618558,0.017053627402322434,Edenhofer,1004,0,0,0
2128148018773587200,NGC6811,NGC6811,Long2023;Curtis2020;GodoyRivera2021,Santos2021;Curtis2019a;Santos2021,10.372782,1,1,0.9159025083873047,0.96762854,15.013945803117322,0.8213741289574826,0.01513502975772659,Edenhofer,1004,0,0,0
2128152000202526592,NGC6811,NGC6811,Long2023,Long2023,0.709,0.885,0.885,0.8919252008954262,1.045498,13.024242218356614,0.47373151189009005,0.014897447785346539,Edenhofer,1004,0,0,0
2128158601573673728,NGC6811,NGC6811,GodoyRivera2021;Curtis2020,Santos2021;Curtis2019a,10.93,NULL,0.7,0.5568577413259881,3.7748477,15.158097965773166,0.8350495230219483,0.044140080915301964,Bayestar,1004,0,0,0
2128162415503633920,NGC6811,NGC6811,GodoyRivera2021,Santos2019,10.96598,0.748,0.748,0.8647467151677197,1.003147,15.609130977288947,1.1820149270219706,0.016423886299055515,Edenhofer,1004,0,0,0
2128165817117806464,NGC6811,NGC6811,Curtis2020,Curtis2019a,7.18,0.298,0.298,0.7051749178675781,1.0591972,14.070677812829256,0.6366574467154407,0.046939586553850186,Bayestar,1004,0,0,0
2128178976898255744,NGC6811,NGC6811,Long2023;Curtis2020;GodoyRivera2021,Santos2021;Curtis2019a;Santos2021,10.694677,0.483,0.483,0.8304642788347816,1.0178313,16.012932903207812,1.0420508547843186,0.02049225071546205,Edenhofer,1004,0,0,0
2128198836827103616,NGC6811,NGC6811,Long2023;Curtis2020;GodoyRivera2021,Santos2021;Curtis2019a;Santos2021,10.324947,0.645,0.645,0.8680418800935342,1.0305097,15.027584422229655,0.8330062428781334,0.015617028100620397,Edenhofer,1004,0,0,0
2128514053065223808,NGC6811,NGC6811,Long2023;Curtis2020;GodoyRivera2021,Santos2021;Curtis2019a;Santos2021,11.104593,0.749,0.749,0.9178285108908721,0.91461056,15.847044374266932,1.0032191824743262,0.015424839200013701,Edenhofer,1004,0,0,0
2128534668908511360,NGC6811,NGC6811,GodoyRivera2021,Santos2021,11.591247,0.841,0.841,0.9035169891564003,1.0219785,13.902514841166722,0.7289508941721878,0.015739047066626058,Edenhofer,1004,0,0,0
231910577378823168,APer,APer,Boyle2023,Boyle2023,1.896,NULL,0.849,6.590680049867418,1.047551,15.121512573972309,2.584993302979168,0.02349286597623613,Edenhofer,68,0,0,0
232471774986777856,APer,APer,Boyle2023,Boyle2023,5.482,NULL,0.868,6.4412486495539705,1.1617357,11.808951045141281,1.0335513390916968,0.018473714590045088,Edenhofer,68,0,0,0
